unit_code,title,year,credit_points,faculty,subclass,school,campuses,teaching_periods,prerequisites,corequisites,prohibitions,synopsis
ENG6007,Translation and commercialisation of medical technologies,2026,0,ENG,Unit,Faculty of Engineering,,,,,,"The aim of this unit is to provide an overview of the various aspects of translation and commercialisation of medical technologies in order to provide specific training that is highly relevant to the medical technology industry. The topics covered in the unit include policy and the International and national regulatory environment, medical device reimbursement, bioethics, intellectual property, product development and manufacturing, and health economics. The topics will be taught in part by practitioners who are highly skilled in their fields. The course material will be provided in the form of lectures and analysis of case studies."
ENG6009,Communicating research in engineering,2026,6,ENG,Unit,Faculty of Engineering,,,,,,"This unit is catered for research postgraduates and will focus on three main aspects of communicating research in the fields of engineering:

writing a research paper
preparing a thesis and
oral and poster presentation.

You will be able to master best practices of presenting their results in the written form, as well as defending your research orally."
ENG6100,Professional engineer in organisation and society,2026,0,ENG,Unit,Faculty of Engineering,Clayton,First semester; Second semester,,,,"This unit will prepare you to move into organisations and society more broadly as a professional engineer. It will provide insights and strategies that will enable a successful transition from academic studies through an understanding and application of business and industry practices, in an engineering context. You will gain an understanding of the principles of social, economic and environmental sustainability as a driver for management, utilising tools including the United Nations Sustainable Development Goals. Relevant legal issues will be covered. This will be drawn together in discussing the role of the professional engineer, including risk management, safety, ethical behaviour and decision-making."
ENG6331,Railway engineering,2026,0,ENG,Unit,Faculty of Engineering,Clayton,Second semester,,,,"The main subsystems for a functioning modern railway network such as the track system, the rolling stock, the power supply system, and the signal and control system will be described in this unit. It also covers the fundamental principles for planning and design of railway infrastructure. Various track geometry aspects and basic factors for track geometry and the selection of appropriate rolling stock will be explored based on international and national standards. Terminologies and new facts on track geometry and their relationship with train speed and rolling stock design will be introduced. It also covers the interaction between rail vehicles and infrastructure.
The types and components of rolling stock, dynamic interaction between a railway vehicle and a track system, and traffic loadings will be part of the discussions. Key issues and concepts relating to rolling stock design, maintenance and operations will be discussed. This unit also involves discussions on the fundamental wheel-rail interface engineering. Wheel and rail profiles from the point of vehicle guidance perspective and lateral instability will be discussed in this unit. Current developments in inspection and maintenance procedures for track and rolling stock components will be covered as part of this unit. The safety criterion of the railway vehicle against derailments and track instability will be discussed."
ENG6410,Research practice in engineering,2026,0,ENG,Unit,Faculty of Engineering,Clayton,First semester; Second semester,,,,"The goal of the unit is to introduce researchers to the practice of research. It is founded on perspectives from the Philosophy of Science (PoS) which addresses questions of what science is and what it means to be a scientist. The unit firstly introduces the structure of scientific arguments and aims to demonstrate how a knowledge of this structure can enable critical thinking and scientific communication. The unit also aims to make researchers aware of the complex social process that modern science is and introduce them to aspects such as research funding, planning and budgeting research projects, research metrics, technology development and commercialisation, intellectual property and patents, current socio-political views of science and scientists, etc."
ENG6500,Research internship,2026,0,ENG,Unit,Faculty of Engineering,Monash Suzhou Research Institute; Clayton; Malaysia,Term 3; Term 1; Term 4; Term 2,,,,"Students enrolled in this elective unit will undertake an eligible* research internship with a host organisation. The internship is a co-curricular activity providing an opportunity to apply knowledge and research skills to a professional context and improve work readiness. It is an opportunity to turn research theory into practice, build industry networks, enhance resumes and develop soft skills to support &amp; complement research expertise. Students are mentored by their academic supervisor and may have an industry supervisor from within the organisation, overseeing their internship.
Students can undertake a research internship at any time during their candidature, however we strongly recommend an internship commences after the confirmation milestone. The research internship should be a minimum of 3 months or at least 60 working days (full-time equivalent). 
Your internship should be secured and the approval of your supervisor and industry partner via this letter of intent prior to 18 months of commencement of your course. A Letter of Intent is not necessary if you will have a formal contract agreement by 18 months of candidature. A research internship can be undertaken on-site with an organisation, on-campus and online; and part-time or full-time. 
Students must meet the following requirements:

Currently enrolled in the Engineering Monash Doctoral Program coursework mode. You must remain enrolled throughout the period of the internship
The internship will be completed prior to thesis submission and within your candidature period (4 years FTE)
Your supervisor is supportive of you undertaking the internship
Internship placement must be approved by the Unit Coordinator/Faculty

*A research internship is defined as a position with a research end-user (e.g. business, governments, non-governmental organisations, communities and community organisations), where a student has undertaken research and development (R&amp;D) related to their higher degree by research (HDR).
To find out more about how to secure an internship, please refer to this website."
ENG6805,Statistical data processing and operations research,2026,0,ENG,Unit,Faculty of Engineering,Malaysia,First semester,,,,"This unit introduces the basic engineering statistical analysis and operations research techniques for engineers. Topics include modelling data, statistical inferences, correlations and simple linear regressions, linear programming, Simplex Method for linear programming, Duality Theory, and Sensitivity Analysis. The unit is oriented towards industrial engineering applications rather than mathematical development."
FIT1006,Business information analysis,2026,6,IT,Unit,Faculty of Information Technology,Clayton,First semester,,,,"This unit is designed to give you an introduction to statistical and quantitative methods within a business-related framework and to provide you with a sound foundation for more advanced statistical and quantitative studies. The unit will provide opportunities for you to gain skills in the presentation of business and economic data, the use of frequency distributions, measures of central tendency and dispersion, principles of probability, use of probability distributions, sampling theory, estimation, hypothesis testing, regression analysis, the use of indices and forecasting methods."
FIT1008,Fundamentals of algorithms,2026,6,IT,Unit,Faculty of Information Technology,Clayton; Malaysia,Second semester; First semester,(FIT1045;FIT1053)&(MAT1830;FIT1058),,,"This unit introduces you to core problem-solving, analytical skills, and methodologies useful for developing flexible, robust, and maintainable software. In doing this, it covers a range of conceptual levels, from fundamental algorithms and data structures, down to their efficient implementation as well as complexity. Topics include data types, data structures, algorithms, algorithmic complexity, recursion, and their practical applications."
FIT1033,Foundations of 3D,2026,6,IT,Unit,Faculty of Information Technology,Clayton,Second semester,,,,"From concept to creation, this unit teaches you how 3D assets are made for the game worlds we play and explore. Foundations of 3D introduces you to the creative and technical processes behind 3D modelling in the context of games and immersive media. You'll develop the core skills needed to design and construct 3D assets for interactive environments, animation, and visual prototyping. Throughout the unit, you'll explore key techniques including geometric and organic modelling, UV unwrapping, texture mapping, lighting, camera positioning, and rendering techniques. Learning takes place through hands-on, studio-style sessions using industry standard tools, allowing you to apply new techniques each week. Assessment tasks focus on practical asset creation and documentation. Youll produce original 3D works and demonstrate your understanding of technical processes through project-based work. This unit teaches skills that are fundamental for its subsequent units, including FIT2169 - Immersive Environments, FIT3187 - 3D Character Animation and FIT2098 - Virtual and Augmented reality."
FIT1043, Introduction to data science ,2026,6,IT,Unit,Faculty of Information Technology,Malaysia; Clayton,Second semester; First semester,,,,"This unit looks at processes and case studies to understand the many facets of working with data, and the significant effort in Data Science over and above the core task of Data Analysis. Working with data as part of a business model and the lifecycle in an organisation is considered, as well as business processes and case studies. Data and its handling is also introduced: characteristic kinds of data and its collection, data storage and basic kinds of data preparation, data cleaning and data stream processing. Curation and management are reviewed: archival and architectural practice, policy, legal and ethical issues. Styles of data analysis and outcomes of successful data exploration and analysis are reviewed. Standards, tools and resources are also reviewed."
FIT1045,Introduction to programming,2026,6,IT,Unit,Faculty of Information Technology,Malaysia; Indonesia; Clayton,"Second semester; Monash Indonesia semester 2; First semester; October intake teaching period, Malaysia campus; November teaching period",,,,"This unit introduces programming fundamentals. It will present fundamental programming control structures, built-in and complex datatypes, mechanisms for modularity, and the use of basic libraries. You will also be introduced to good programming practices and processes for software development.
"
FIT1047,"Introduction to computer systems, networks and security",2026,6,IT,Unit,Faculty of Information Technology,Malaysia; Clayton; Indonesia,"First semester; October intake teaching period, Malaysia campus; Second semester; November teaching period; Monash Indonesia semester 2",,,,"The unit introduces you to fundamentals of computer systems, networks and security. It provides basic knowledge of computer organisation and architecture, operating systems, networking architecture, technology and operation. It introduces the concepts of security goals for protecting common modern computer systems and communication networks from adversaries and the deployment of suitable countermeasures to achieve these goals."
FIT1049,IT professional practice,2026,6,IT,Unit,Faculty of Information Technology,Clayton,Second semester; First semester,,,,"This unit provides a practical and theoretical introduction to what it means to be an IT professional, or a professional with IT expertise today. You will encounter a range of issues relevant to professional practice in the workplace, as well as an understanding of the wider responsibilities that professionals are called upon to uphold in society as they apply their IT expertise. Topics addressed include: the nature of IT as professional expertise; professional communications; situational management; teamwork in professional and organisational settings; problem solving and decision making; applications of professional ethics and relevant legal frameworks. Skills and knowledge will be developed and applied through a range of collaborative, individual and reflective tasks in relevant communication modes and formats."
FIT1050,Web fundamentals,2026,6,IT,Unit,Faculty of Information Technology,Indonesia; Clayton,Monash Indonesia semester 2; November teaching period; First semester,,,,"The world-wide web is one of the most widely-used platforms for building applications. Although all students can be assumed to be experienced users of the web, very few have any clear understanding of the technologies upon which the web is based, and the way in which these technologies affect web-based applications. This unit aims to give you a sound basic knowledge of the web and a range of issues which may be involved in web application development. It will take a strongly practical focus in examining the technology, design and implementation problems a developer needs to address in developing applications for real-world systems. The diversity of web applications means that there are a wide range of issues which may be relevant to the development of any given web site. The unit will aim to give breadth of coverage of these issues, rather than focusing in depth on any particular development task or any specific type of web application.
The unit will take a strongly practical focus in examining the technology issues involved, and highlight the key issues which a developer needs to address in developing applications of this kind for real-world systems."
FIT1051,Programming fundamentals in java,2026,6,IT,Unit,Faculty of Information Technology,Clayton; Malaysia,"First semester; October intake teaching period, Malaysia campus; Second semester",,,,"This unit will provide you with an overview of the fundamental knowledge and skills required to code applications. The topics covered will include: the context of programming in an industrial SDLC, dealing with code 'plumbing', data, using API library classes, common business logic patterns and their implementation using control structures, methods and modularity, value and reference types, coding custom driver and concept classes, class inheritance, interfaces, multi-class applications."
FIT1053,Introduction to programming (Advanced),2026,6,IT,Unit,Faculty of Information Technology,Clayton,First semester,,,,"This unit introduces programming fundamentals. It will present fundamental programming control structures, built-in and complex datatypes, mechanisms for modularity, and the use of basic libraries. You will also be introduced to good programming practices and processes for software development."
FIT1054,Fundamentals of algorithms (Advanced),2026,6,IT,Unit,Faculty of Information Technology,Clayton,Second semester,(FIT1045;FIT1053),,,"This unit introduces you to core problem-solving, analytical skills, and methodologies useful for developing flexible, robust, and maintainable software. In doing this, it covers a range of conceptual levels, from fundamental algorithms and data structures, down to their efficient implementation as well as complexity. Topics include data types, data structures, algorithms, algorithmic complexity, recursion, and their practical applications."
FIT1055,IT professional practice and ethics,2026,6,IT,Unit,Faculty of Information Technology,Malaysia,First semester; Second semester,,,,"This unit provides a practical and theoretical foundation in developing the skills required as a Professional IT graduate when entering the workplace. Topics addressed include: professional communication; teamwork; project meetings; professional computing societies code of conduct and ethics; research skills in a professional IT role; ethical reasoning theories; and critical thinking. During this unit, you will be provided with a range of contemporary ethical issues in Artificial Intelligence from the use and development of current and future computing, wearable and mobile App technologies."
FIT1056,Introduction to software engineering,2026,6,IT,Unit,Faculty of Information Technology,Clayton; Malaysia,Second semester,,,,"Embark on an exciting journey into software engineering with this unit, tailored explicitly for first-year undergraduate students from diverse engineering backgrounds. We aim to provide you with a solid understanding of essential software engineering concepts, methodologies, and practices while introducing you to programming. Throughout this unit, you will explore the crucial role that software engineering plays in solving real-world problems and delve into the ethical considerations involved in the development process. You will be introduced to various software development methodologies such as Waterfall, Agile, and Scrum and examine the intricacies of the software development life cycle (SDLC). You will learn an industry-standard software programming language and how to work effectively in a diverse software development team. You'll learn how to apply human-centric software engineering best practices to develop systems that work for humans.
No prior programming or software engineering experience is required for this course. It is designed to serve as an ideal starting point for students interested in exploring the field of software engineering and considering a future in software engineering or related disciplines."
FIT1057,Introduction to cybersecurity,2026,6,IT,Unit,Faculty of Information Technology,Clayton,First semester,,,,"This course provides an introductory overview of cybersecurity, covering fundamental concepts, principles, and practices. You will explore the cyber environment, understand cyber risks, examine cyber policy, and examine the ethics around implementing policy to detect, prevent, and deter cyber threats."
FIT1058,Foundations of computing,2026,6,IT,Unit,Faculty of Information Technology,Clayton; Malaysia,"November teaching period; Second semester; First semester; October intake teaching period, Malaysia campus",,FIT1045;FIT1053;ENG1014;ENG1013,,"Computation uses abstract formal models of real objects and systems. This unit lays the theoretical foundations for working with the most fundamental abstract models used in computer science, including relations, sequences, trees and graphs. It will develop skills in abstract modelling, logical reasoning, rigorous proof, formal analysis, enumeration and probability. These concepts and skills will be taught in a variety of contexts from across computer science."
FIT1059,AI for everyone,2026,6,IT,Unit,Faculty of Information Technology,Clayton,Second semester; November teaching period,,,,"This unit acts as a deep but non-mathematical entry point into the fascinating and fast-growing world of Artificial Intelligence (AI). It covers the early history of AI and its progress towards the current state of the art. AIs fundamental concepts and techniques are introduced in common language, enabling you to successfully navigate the appropriate and ethical application of new technologies. We introduce topics such as intelligent agents, machine learning, deep learning and generative AI, to demonstrate AIs key principles, strengths and limitations. AIs implications and applications will be explored to assess their impact on individuals, organisations, industry, society and the environment. In these contexts, we will discuss the ethics and practice of AIs use. Overall, this subject provides you opportunities to explore the latest developments in AI and gain hands-on experience in using AI tools. You will discuss and critically examine AIs impacts, benefits and drawbacks.
This unit is designed for students without a computer science background or programming experience.
Students outside of the Faculty of IT are encouraged to enrol in this unit."
FIT1060,Pervasive computing,2026,6,IT,Unit,Faculty of Information Technology,Clayton,First semester,,,,"Computing has become ubiquitous and pervasive, embedded in the everyday objects and environments creating complex, connected systems that influence and shape our lives. In this unit, you are equipped with essential knowledge and skills related to pervasive computing as an essential step towards understanding the complexities of such systems and human-computer interaction. By understanding the principles, technologies, and social implications, you will be prepared for a future where technology seamlessly integrates with our environment. Further, this unit provides a comprehensive understanding of pervasive computing principles and applications, as well as a basis for human-centred AI principles."
FIT1061,Introduction to artificial intelligence,2026,6,IT,Unit,Faculty of Information Technology,Clayton; Malaysia,Second semester,FIT1053;FIT1045,,,"This unit introduces you to the field of Artificial Intelligence (AI) as a specialisation within Computer Science. It provides an overview of the foundations of AI, including the history, key concepts, and applications across diverse domains such as language, vision, and intelligent decision-making. You will explore introductory AI problem-solving techniques and develop a basic understanding of how AI systems are designed to emulate aspects of intelligence.
In parallel, the unit equips you with the essential mathematical and computational foundations required for later AI units. These include fundamental concepts from linear algebra and vector calculus, introduced in the context of solving simple AI-related problems such as classification and optimisation. Practical labs emphasise hands-on engagement through simulations, mathematical reasoning, and basic AI model-building, along with reflection on the societal and ethical implications of AI technologies."
FIT1073,Game design,2026,6,IT,Unit,Faculty of Information Technology,Clayton,First semester,,,,"Design worlds, shape stories, and test ideas - this is where game creation begins. This unit introduces the core principles of game design and storytelling for games. You'll explore how mechanics, systems, and narrative structures work across game contexts, and how design decisions shape the games we play. No prior coding experience is needed - this unit focuses on game design fundamentals through paper-based prototypes and creative experimentation. Working in a collaborative environment, you'll design, test, and refine your ideas while building skills in giving and receiving constructive feedback. This unit is entirely a combination of human-human interaction and paper-based game-making; no generative AI is allowed or involved in learning tasks. The combination of theory and practice in this unit is geared to equip you with the skills to not only design games, but also to critique existing games and new game ideas. The unit provides knowledge and skills, which you can apply within game development projects across subsequent units within the Games and Immersive Media major."
FIT1093,Cybersecurity tools and techniques,2026,6,IT,Unit,Faculty of Information Technology,Clayton,Second semester,,,,"This unit will provide you with an introduction to fundamental tools and techniques for designing secure systems. You will learn how common cryptographic encryption and authentication algorithms work, their limitations and common pitfalls, and how to apply them to protect against confidentiality and integrity threats. You will learn how to apply and evaluate techniques for user authentication and access control to protect systems against unauthorised access. You will further learn about common security vulnerabilities in software systems, how attackers can exploit such vulnerabilities, and how software vulnerabilities can be identified and protected against. Additionally, you will be required to analyse and assess recent developments and future trends in cyber security technologies."
FIT1110,Human-centred artificial intelligence,2026,6,IT,Unit,Faculty of Information Technology,Clayton,Second semester,,,,"This unit will explore how AI technologies are integrated into  and deeply influenced by  human values and social systems. It will explain the foundations of human-centred design and illustrate the application of design frameworks to designing socio-technical AI systems. In addition to gaining basic technical experience on how AI is constructed and used in software development, you will also develop your skills in critical analysis of AI technologies by engaging with their social dimensions and ethical challenges across a wide-range of case studies. These include studying how AI can reinforce old (or create new) forms of social discrimination, how to assess the authority and trustworthiness of AI outputs, and how AI is developed in a broader political and financial context. You will use your critical skills to evaluate existing AI technologies and propose new ways to redesign AI systems so they align with the principles, frameworks, and goals of human-centred design."
FIT2001,Systems development,2026,6,IT,Unit,Faculty of Information Technology,Clayton,Second semester; First semester,,,,"The unit introduces you to systems analysis and design as a problem solving activity, within the framework of a selected methodology. It will focus on contemporary industry practice; investigating understanding and documenting system requirements; a range of design and implementation activities; and professional skills required for systems development."
FIT2002,IT project management,2026,6,IT,Unit,Faculty of Information Technology,Clayton,Summer semester B; Second semester,FIT1051;ENG1013;FIT1048;FIT1045;ENG1003;FIT1053,,,"This unit introduces you to the many concepts, tools and techniques for managing information technology projects. Exploring traditional and agile approaches for managing projects, topics include project lifecycles, project planning, project scheduling, team building, risk management, time and quality management. A case study approach will be used to provide learning opportunities, with an emphasis on the unique aspects of information technology projects."
FIT2004,Algorithms and data structures,2026,6,IT,Unit,Faculty of Information Technology,Clayton; Malaysia,First semester; Second semester,(FIT1008;FIT2085;FIT1054)&(FIT1058;MAT1830),,,"This unit introduces you to problem solving concepts and techniques fundamental to the science of programming. In doing this it covers problem specification, algorithmic design, analysis and implementation. Detailed topics include analysis of best, average and worst-case time and space complexity; introduction to numerical algorithms; recursion; advanced data structures such as heaps and B-trees; hashing; sorting algorithms; searching algorithms; graph algorithms; and numerical computing."
FIT2014,Theory of computation,2026,6,IT,Unit,Faculty of Information Technology,Malaysia; Clayton,Second semester; First semester,(MTH2025;MTH3141;MTH2141;MTH2021;FIT2085;MTH3140;MTH2140;FIT1008;FIT1054)&(ATS2866;MTH1035;MAT1830;FIT1058),,,"This unit introduces formal languages, models of computation, and computational complexity. It looks at what computers can and cannot compute. Topics include finite state automata, regular expressions, grammars, pushdown automata, computable functions, Turing machines, polynomial-time reductions, complexity classes P and NP, and NP-completeness. Skills at writing formal proofs will be developed."
FIT2081,Mobile application development,2026,6,IT,Unit,Faculty of Information Technology,Malaysia; Clayton,First semester,FIT1051;FIT1045;FIT1048;FIT1053,,,"This unit introduces an industrial strength programming language (with supporting software technologies and standards) and object-oriented application development in the context of mobile application development for smartphones and tablets. The approach is strictly application driven. You will learn the syntax and semantics of the chosen language and its supporting technologies and standards and object oriented design and coding techniques by analysing a sequence of carefully graded, finished applications. You will also design and build your own applications."
FIT2082,Computer science research project,2026,6,IT,Unit,Faculty of Information Technology,Clayton,Second semester,FIT2083,,,"This unit builds upon FIT2083 and allows you to conduct an independent research project. You will be assigned to one of the Faculty of Information Technology's research groups, an academic supervisor and a research topic. You may work on your project individually or in groups, as determined by your supervisor. During the semester, you will be required to participate in research group events including seminars and presentations."
FIT2083,Innovation and research in computer science,2026,6,IT,Unit,Faculty of Information Technology,Clayton,First semester,MTH1035;MTH1030;MAT1841;FIT1058,,,"This unit equips you to be effective innovators and researchers in Computer Science. It introduces you to the issues, concepts, methods and techniques associated with IT research in general, but focuses on those most commonly used for research in Computer Science. It introduces you to professional practice and research ethics, the principles of research design, research methods and techniques of data collection and analysis appropriate to Computer Science. It covers oral and written communication skills.
Skills developed and knowledge acquired from this unit will prepare you to conduct and to communicate your own research, as well as to be knowledgeable consumers of others' research."
FIT2085,Fundamentals of algorithms for engineers,2026,6,IT,Unit,Faculty of Information Technology,Malaysia; Clayton,First semester; Second semester,(MAT1830;FIT1058)&(ENG1014&ENG1013),,,"This unit introduces you to core problem-solving, analytical skills, and methodologies useful for developing flexible, robust, and maintainable software. In doing this, it covers a range of conceptual levels, from fundamental algorithms and data structures, down to their efficient implementation as well as complexity. Topics include data types, data structures, algorithms, algorithmic complexity, recursion, and their practical applications."
FIT2086,Modelling for data analysis,2026,6,IT,Unit,Faculty of Information Technology,Malaysia; Clayton,Second semester,(MTH1035;MTH1030;MAT1841;FIT1058;ENG1005)&(FIT1045;FIT1053),,,"This unit explores the statistical modelling foundations that underlie the analytic aspects of Data Science. It covers:

Data: collection and sampling, data quality.
Analytic tasks: statistical hypothesis testing, exploratory and confirmatory analysis.
Probability distributions: dependence and independence, multivariate Gaussian, Poisson, Dirichlet, random number generation and simulation of distributions, simulation of samples (bootstrap).
Predictive models: linear and logistic regression, and Bayesian classification.
Estimation: parameter and function estimation, maximum likelihood and minimum cost estimators, Monte Carlo estimators, inverse probabilities and Bayes theorem, bias versus variance and sample size effects, cross validation, estimation of model performance."
FIT2090,Business information systems and processes,2026,6,IT,Unit,Faculty of Information Technology,Clayton,Second semester,,,,"Globalisation and increasing customer demands are challenges facing companies today. To remain competitive and effective in their offerings, companies cannot afford to harbour inefficiencies in their operations. A business process oriented approach is key to the success of modern organisations. A well-designed process will improve efficiency and deliver greater productivity. At the same time, business processes must be designed to ensure that they are effective and meet customer requirements. The internal processes of a business organisation are described with an emphasis on how they work together to achieve the goals of the organisation. A range of process modelling tools is presented in the unit.
Upon completion of this unit you should be able to: describe business processes in organisations, their structure and they fit into the overall organisation objectives; recommend a process modelling tool for modelling and analysing business processes with the aim of increasing efficiencies and effectiveness for businesses; analyse factors for managing in-house development or software outsourcing; discuss ethical issues related to the management and use of business information systems."
FIT2093,Cybersecurity tools and techniques,2026,6,IT,Unit,Faculty of Information Technology,Malaysia,First semester,,,,"This unit will provide you with an introduction to fundamental tools and techniques for designing secure systems. You will learn how common cryptographic encryption and authentication algorithms work, their limitations and common pitfalls, and how to apply them to protect against confidentiality and integrity threats. You will learn how to apply and evaluate techniques for user authentication and access control to protect systems against unauthorised access. You will further learn about common security vulnerabilities in software systems, how attackers can exploit such vulnerabilities, and how software vulnerabilities can be identified and protected against. Additionally, you will be required to analyse and assess recent developments and future trends in cyber security technologies"
FIT2094,Databases,2026,6,IT,Unit,Faculty of Information Technology,Malaysia; Clayton,First semester; Second semester; Summer semester B,(FIT1048;FIT1045;FIT1053;FIT1051);(ENG1014&ENG1013),,,"This unit will provide an introduction to the concepts of database design and usage and the related issues of data management. You will develop skills in planning, designing, and implementing a data model using an enterprise-scale relational database system (Oracle). Methods and techniques will also be presented to populate, retrieve, update and implement integrity features on data in the implemented database system."
FIT2095,Full stack development,2026,6,IT,Unit,Faculty of Information Technology,Clayton,Second semester,(FIT1045;FIT1051;FIT1053;FIT1048),,,"Non-B2B e-Business applications are now mostly developed for Web and mobile platforms. With the advent of mobile Web apps a set of technologies and techniques has emerged that are shared by both Web and mobile application development. This unit introduces, explains and uses these technologies and techniques to build basic but industrial strength e-Business applications. The topics covered will be selected from the following: an overview of the current state-of-play in e-Business application development, HTML5 (the living standard), CSS3, object oriented JavaScript for large developments, JavaScript APIs, Ajax, JSON, XML and related W3C technologies, jQuery, jQuery Mobile, MVC, ASP.NET MVC, ECMAScript 2015 and beyond, Angular, TypeScript, React. The appropriateness of the selected technologies in different contexts, together with relevant best practice techniques for their use and integration will also be covered."
FIT2096,Games programming ,2026,6,IT,Unit,Faculty of Information Technology,Clayton,First semester,FIT1053;FIT1045;FIT1048,,,"Programming for games requires a strong understanding of how various components of a game engine work and how game mechanics can be constructed using these systems. This unit introduces you to fundamental game programming principles using an object-oriented approach in the C++ language. Programming knowledge is expected coming into the unit, however this does not have to be C++.
A number of techniques will be covered, including the core game program loop, game physics, artificial intelligence agents, 3D rendering and dynamic user interfaces. Underpinning this will be the use of fundamental mathematical principles for working with computer graphics and game interactions."
FIT2098,Virtual and augmented reality,2026,6,IT,Unit,Faculty of Information Technology,Clayton,First semester,FIT1033;IDN2904,,,"Create immersive experiences that redefine the boundaries of reality and imagination. This unit introduces you to the exciting world of Virtual Reality (VR) and Augmented Reality (AR), combining theory and hands-on practice to spark your creativity. You will explore the evolution of VR and AR within Human-Computer Interaction practice and learn how human perception shapes immersive digital environments. Working in a studio environment, you will use cutting-edge hardware and software to design and develop your own innovative VR and AR applications. This practical approach enables you to apply core design principles and build skills that prepare you for future projects in immersive media."
FIT2099,Object oriented design and implementation,2026,6,IT,Unit,Faculty of Information Technology,Clayton; Malaysia,First semester; Second semester,(FIT1051;FIT1008;FIT1045;FIT1048;FIT1054;FIT1053);((ENG1003;ENG1013)&(ENG1014;ENG1060)),,,"This unit introduces you to object-oriented design principles and their application to the construction of quality software. You will learn the fundamental concepts that underlie modern object-oriented languages, and will learn how to implement your designs using at least one. You will also learn how to use standard notation to illustrate your designs."
FIT2100,Operating systems,2026,6,IT,Unit,Faculty of Information Technology,Clayton; Malaysia,Second semester,FIT1047;ENG1013;ENG1003,,,"This unit will provide you with the knowledge of how a multi-programming, multi-user operating systems operates and it manages and allocate resources to different applications. You will be able to compare and contrast various resource management allocation strategies. You will develop and implement code to understand and make use of operating system services.
The topics covered will include an introduction to C Programming which is heavily used in development of operating systems, operating system structure and services, multi-programming processes, CPU scheduling, memory management, device management, synchronisation, deadlocks, virtual memory and file systems."
FIT2101,Software engineering process and management,2026,6,IT,Unit,Faculty of Information Technology,Malaysia; Clayton,Second semester,((ENG1060;ENG1014)&(ENG1013;ENG1003)),,,"A disciplined process is vital to the success of any major software development project. In this unit, you will learn essential skills for managing software development efforts and for working within coordinated teams. You will learn how to decide upon and document your team's structure and process model. Your team will be expected to follow the process model they have documented, and to evaluate its effectiveness.
There are many factors that can potentially cause a software project to fail. This unit will equip you with techniques to identify and manage these risks, including ethical considerations, and will take a risk-focused approach to project organisation."
FIT2102,Programming paradigms,2026,6,IT,Unit,Faculty of Information Technology,Malaysia; Clayton,Second semester,FIT1008;FIT1054,,,"Ability to code in differently constructed programming languages is analogous to speaking in different natural languages with varying grammars. Similar to natural languages, programming languages from different paradigms (styles) vary in their expressiveness and efficiency. One programming language may require many screens-full of complex code to accomplish a task for which another requires but a few expressive lines of code. Therefore, understanding the design principles of programming languages enables computational problems to be implemented in dramatically different and powerful ways; leading, in some cases, to solutions that are more elegant, correct, maintainable, efficient and/or extensible.
This unit examines a selection of programming languages and paradigms and explores the evolution of language design from low-level paradigms that are closer to the execution model of the machine, to more high-level declarative paradigms that allow programmers to model a problem precisely rather than specify its solution. The unit covers paradigms such as functional and declarative programming styles, comparing and contrasting them to programming styles that you are already familiar with, including object-oriented, imperative and procedural programming paradigms. We compare type systems supported by various languages, from scripting languages like JavaScript with weak type systems, to gradual typing as in TypeScript, to advanced compiled languages with strong type correctness, such as Haskell. We see these applied to data-modeling techniques (covering polymorphism, mutability-versus-purity, state management, and side-effects) and different models of execution such as strict-versus-lazy evaluation.
The unit provides practical experience with using modern functional programming techniques, non-procedural, non-object-oriented programming languages and discusses the influence of programming language theory on the design of current main-stream computer languages, and how the theory translates to practice. A focus of the unit is that these techniques are applicable and ubiquitous in a variety of modern languages, for example, we will see how functional programming techniques are used in relatively conventional imperative languages like JavaScript, and compare and contrast this with pure functional languages, such as Haskell."
FIT2104,Web database interface,2026,6,IT,Unit,Faculty of Information Technology,Clayton,Second semester,FIT3171;FIT2094,,,"This unit provides you with the knowledge, understanding and skills required to analyse a business problems and develop a solution that uses a web interface to a back-end database. The unit assumes a sound basic knowledge of programming and database concepts and skills as developed in the introductory units in these areas. The emphasis in the unit is on mastery of the key concepts and the basic knowledge and skills required to build this kind of application. The unit will provide you with an awareness of the wide range of technologies that are used to support this kind of application, but will examine only a limited number of these technologies to demonstrate the key concepts and their application.
The unit will take a strongly practical focus in examining the technology issues involved, and highlight the key issues which a developer needs to address in developing applications of this kind for real-world systems."
FIT2107,Software quality and testing,2026,6,IT,Unit,Faculty of Information Technology,Clayton; Malaysia,Second semester,((ENG1013;ENG1003)&(ENG1014;ENG1060)),,,"This unit focuses on modern software quality assurance and testing tools and techniques to assure the quality of software systems. You will learn different quality aspects of quality attributes, e.g., reliability, human, and security. You will design test cases and apply systematic testing techniques in the context of individual modules and entire systems, using appropriate tools and techniques to automate the testing process where possible. Finally, you will analyze and report code quality issues using modern code review practices with tools and measures."
FIT2108,Industry based learning seminar,2026,0,IT,Unit,Faculty of Information Technology,Clayton,First semester,,,,"This undergraduate seminar unit is compulsory for undergraduate students who have been selected for the Industry Based Learning Program in the Faculty of Information Technology. It is a non-weighted unit and is taken in addition to any prescribed coursework.
The seminars are presented by the industry partners of the IBL program and are intended to provide you with useful knowledge of current industry practise in IT. This seminar series should be attended prior to the commencement of an IBL placement."
